SessionID,LoggingTime,UID,RecNo,Hertz,Activity,MoveType,Wrist,Side,TimeStamp,DMRoll,DMPitch,DMYaw,DMRotX,DMRotY,DMRotZ,DMGrvX,DMGrvY,DMGrvZ,DMUAccelX,DMUAccelY,DMUAccelZ,DMQuatX,DMQuatY,DMQuatW,DMQuatZ,AccelroX,AceelroY,AceelroZ
20220111-1117,2022-01-11 11:18:09Z,u01, 1,40,movements,el-ex, rt, d,75616.888511125, -1.6276164763559222, 0.16650214514841172, 2.9842532139978006, -0.0363595224916935, -1.172492504119873, -1.3057156801223755, -0.9845789670944214, -0.16573388874530792, 0.05600420758128166, 0.40659135580062866, 0.1272665113210678, 0.010462995618581772, -0.7266375325858898, -5.551115123125783e-17, -0.11404165160413082,-0.6774897541605884,-0.5779876708984375,-0.0384674072265625,0.06646728515625
20220111-1117,2022-01-11 11:18:09Z,u01, 2,40,movements,el-ex, rt, d,75616.91345412501, -1.6570909691102387, 0.20023435274523163, 2.9837367973338993, -0.08334364742040634, -1.1014946699142456, -1.3015292882919312, -0.9763733148574829, -0.19889900088310242, 0.08446555584669113, 0.24433284997940063, 0.18728706240653992, 0.03903902322053909, -0.7363028177601976, -0.009536193907303703, -0.12645769404184393,-0.664662120584792,-0.7841949462890625,-0.0372314453125,0.1261138916015625
20220111-1117,2022-01-11 11:18:09Z,u01, 3,40,movements,el-ex, rt, d,75616.938397125, -1.6830326134408393, 0.22872509953368964, 2.9891909188380033, 0.37365537881851196, -1.0071768760681152, -0.9865521192550659, -0.9678283929824829, -0.22673600912094116, 0.10908389091491699, 0.03461599349975586, -0.07352650165557861, 0.0861523300409317, -0.7444223855423042, -0.019423141084430606, -0.13523692442699609,-0.6535818010935416,-0.9332122802734375,-0.300262451171875,0.1952362060546875
20220111-1117,2022-01-11 11:18:09Z,u01, 4,40,movements,el-ex, rt, d,75616.963340125, -1.7055841783055825, 0.25230979835824285, 3.0064772572553267, 0.37450605630874634, -0.5299652814865112, -1.0572025775909424, -0.9595552682876587, -0.2496412843465805, 0.13012537360191345, -0.24166220426559448, 0.05016322433948517, 0.0045028626918792725, -0.7510186846085759, -0.03215002242558629, -0.13860015267096665,-0.6447690825071679,-0.7341461181640625,-0.160797119140625,0.0023040771484375
20220111-1117,2022-01-11 11:18:09Z,u01, 5,40,movements,el-ex, rt, d,75616.988283125, -1.7239607570593038, 0.2777922118836511, 3.008264885134341, -0.39930087327957153, -0.8076896071434021, -1.0262662172317505, -0.9504051208496094, -0.2742331624031067, 0.1467173546552658, 0.1788141131401062, 0.25457990169525146, -0.027225881814956665, -0.7561557308449993, -0.039839509657869754, -0.14781263198631683,-0.6362331375065914,-0.7715911865234375,-0.0196533203125,0.1194915771484375
20220111-1117,2022-01-11 11:18:09Z,u01, 6,40,movements,el-ex, rt, d,75617.01322612501, -1.7412168695580361, 0.30345328124576576, 3.0057651364192504, -0.019519122317433357, -0.5540534257888794, -0.9812837243080139, -0.9404857754707336, -0.2988174855709076, 0.16184799373149872, 0.002054929733276367, -0.03271022439002991, 0.10539436340332031, -0.7608022527754431, -0.045868610496943296, -0.15854246055459012,-0.6276466705777249,-0.982452392578125,-0.3697052001953125,0.2736358642578125
20220111-1117,2022-01-11 11:18:09Z,u01, 7,40,movements,el-ex, rt, d,75617.03816912501, -1.754611134429563, 0.323233197794683, 3.0162216101936363, 0.4589155614376068, -0.29363584518432617, -0.7717220783233643, -0.932239294052124, -0.3176339864730835, 0.17331579327583313, -0.0411188006401062, -0.110695481300354, 0.05446730554103851, -0.7639506819234261, -0.05511126063009214, -0.1630250026976889,-0.6219042371078511,-0.973358154296875,-0.4283294677734375,0.227783203125
20220111-1117,2022-01-11 11:18:09Z,u01, 8,40,movements,el-ex, rt, d,75617.063112125, -1.7659329012968639, 0.3403706450839787, 3.0282946231852983, 0.08842435479164124, -0.35749495029449463, -0.7645738124847412, -0.9247410893440247, -0.33383649587631226, 0.18277665972709656, 0.07551312446594238, 0.12727826833724976, -0.07396624982357025, -0.7663301094041752, -0.06423780941471058, -0.16607160164035437,-0.6172778930566432,-0.8280181884765625,-0.1710052490234375,0.0992889404296875
20220111-1117,2022-01-11 11:18:09Z,u01, 9,40,movements,el-ex, rt, d,75617.088055125, -1.7769637440326584, 0.3591226052579871, 3.0307678512267033, -0.08153941482305527, -0.38377588987350464, -0.7441080212593079, -0.9163791537284851, -0.35145294666290283, 0.1916506290435791, 0.003125429153442383, 0.08167752623558044, -0.0471346378326416, -0.768702436452145, -0.07015608595526296, -0.1727630195307221,-0.6118231767141318,-0.9132537841796875,-0.269775390625,0.1445159912109375
20220111-1117,2022-01-11 11:18:09Z,u01, 10,40,movements,el-ex, rt, d,75617.112998125, -1.7850659674726657, 0.37718685497754306, 3.0331668838133834, -0.021967001259326935, -0.23970866203308105, -0.6774349212646484, -0.9084439873695374, -0.36830654740333557, 0.19768662750720978, -0.04463529586791992, 0.1197865903377533, -0.01647326350212097, -0.7701073019569185, -0.07601355112006336, -0.17916330758228602,-0.6075008513979858,-0.9376068115234375,-0.2494659423828125,0.1912689208984375
20220111-1117,2022-01-11 11:18:09Z,u01, 11,40,movements,el-ex, rt, d,75617.13794112501, -1.7930265777949386, 0.39145898480027075, 3.038756490578277, 0.08963213115930557, -0.23557162284851074, -0.568779468536377, -0.90162193775177, -0.38153743743896484, 0.20373262465000153, 0.033152759075164795, 0.040946006774902344, 0.035998210310935974, -0.7714673340102896, -0.0818808062902166, -0.18319528339378774,-0.6037989180661338,-0.86846923828125,-0.3405914306640625,0.2397308349609375
20220111-1117,2022-01-11 11:18:09Z,u01, 12,40,movements,el-ex, rt, d,75617.162884125, -1.8016585514463208, 0.4049933030862408, 3.041811525596502, -0.05635503679513931, -0.32512494921684265, -0.5015296339988708, -0.8947206139564514, -0.39401260018348694, 0.2103067934513092, 5.2094459533691406e-05, 0.043533533811569214, 0.033330172300338745, -0.7730988759815257, -0.0864379859320335, -0.18778119525484124,-0.5996538566388947,-0.917144775390625,-0.3543701171875,0.2424163818359375
20220111-1117,2022-01-11 11:18:09Z,u01, 13,40,movements,el-ex, rt, d,75617.187827125, -1.8086298964179637, 0.4144306227291865, 3.0455644963658237, 0.20381952822208405, -0.12001394480466843, -0.31811776757240295, -0.8895794749259949, -0.4026688039302826, 0.2156534045934677, -0.0856250524520874, -0.018717944622039795, -0.02299591898918152, -0.7744055274329715, -0.09012649313057813, -0.19055947820904773,-0.5965404201965585,-0.9752044677734375,-0.42138671875,0.192657470703125
20220111-1117,2022-01-11 11:18:09Z,u01, 14,40,movements,el-ex, rt, d,75617.212770125, -1.8152305916587437, 0.41895091467259266, 3.0554682206363784, 0.32815492153167725, -0.12478713691234589, -0.24931979179382324, -0.886361300945282, -0.40680232644081116, 0.22107769548892975, -0.011435270309448242, -0.03713682293891907, -0.122002512216568, -0.7756079272855166, -0.09471637374725989, -0.18964082264253532,-0.5945564923253819,-0.8845977783203125,-0.4222564697265625,0.0998077392578125
20220111-1117,2022-01-11 11:18:09Z,u01, 15,40,movements,el-ex, rt, d,75617.23771312501, -1.8221722579852275, 0.42351851091955545, 3.0632042674646223, 0.1560790240764618, -0.14417174458503723, -0.18930386006832123, -0.8829965591430664, -0.41097062826156616, 0.2267606407403946, -0.035399436950683594, 0.13916581869125366, -0.0606229305267334, -0.7769738913975296, -0.09844742512313703, -0.18942955024631064,-0.592229842845853,-0.91839599609375,-0.2718048095703125,0.1661376953125
20220111-1117,2022-01-11 11:18:09Z,u01, 16,40,movements,el-ex, rt, d,75617.262656125, -1.825232554818274, 0.4247114190507723, 3.0680348650912923, 0.08638297021389008, 0.054035477340221405, -0.009190952405333519, -0.8818232417106628, -0.4120578467845917, 0.22933822870254517, -0.03651165962219238, 0.07644081115722656, -0.01598989963531494, -0.7775536916444425, -0.10039605498662824, -0.18861004056566524,-0.591402667792301,-0.90496826171875,-0.3745269775390625,0.231414794921875
20220111-1117,2022-01-11 11:18:09Z,u01, 17,40,movements,el-ex, rt, d,75617.287599125, -1.8203854034333014, 0.42438156890404294, 3.0612039269564932, -0.42385831475257874, 0.12657839059829712, 0.16831353306770325, -0.8830562829971313, -0.41175729036331177, 0.22509481012821198, -0.013565421104431152, -0.17988696694374084, 0.07730388641357422, -0.7764814829139699, -0.09810152980913817, -0.1902650586290839,-0.5926650620737377,-0.8966217041015625,-0.591644287109375,0.302398681640625
20220111-1117,2022-01-11 11:18:09Z,u01, 18,40,movements,el-ex, rt, d,75617.312542125, -1.8140708345949244, 0.4187466983911066, 3.0561464948410912, 0.2662617862224579, 0.21346668899059296, 0.3110954463481903, -0.8866978883743286, -0.4066157639026642, 0.22006964683532715, -0.04663646221160889, -0.2246403694152832, -0.08582282066345215, -0.7752449167391651, -0.09502704707874993, -0.1893060110487377,-0.5950869526241731,-0.945159912109375,-0.584075927734375,0.0975494384765625
20220111-1117,2022-01-11 11:18:09Z,u01, 19,40,movements,el-ex, rt, d,75617.337485125, -1.8106583137933883, 0.40892836903127266, 3.066471866986461, 0.3805522322654724, 0.37322214245796204, 0.32232800126075745, -0.8912788033485413, -0.39762628078460693, 0.21798044443130493, -0.13215869665145874, 0.05102291703224182, -0.04674637317657471, -0.7744072455931187, -0.09635163541765113, -0.1823087614742996,-0.5981415472371191,-1.0234375,-0.3466033935546875,0.171234130859375
20220111-1117,2022-01-11 11:18:09Z,u01, 20,40,movements,el-ex, rt, d,75617.362427125, -1.7996243253560136, 0.39673824647134415, 3.0654926714753605, -0.19830405712127686, 0.49030834436416626, 0.6646299958229065, -0.8982837796211243, -0.38641199469566345, 0.20921698212623596, -0.18907266855239868, -0.02993929386138916, 0.05790324509143829, -0.7719561704080012, -0.09323175199447165, -0.1774243701583593,-0.6032511731092415,-1.0919952392578125,-0.440582275390625,0.277557373046875
