SessionID,LoggingTime,UID,RecNo,Hertz,Activity,MoveType,Wrist,Side,TimeStamp,DMRoll,DMPitch,DMYaw,DMRotX,DMRotY,DMRotZ,DMGrvX,DMGrvY,DMGrvZ,DMUAccelX,DMUAccelY,DMUAccelZ,DMQuatX,DMQuatY,DMQuatW,DMQuatZ,AccelroX,AceelroY,AceelroZ
20220122-1409,2022-01-22 14:09:32Z,u01, 1,40,movements,el-ex, rt, d,294633.451476875, -1.545704856963417, 0.1227335457078073, 0.11969930311614575, 0.15264898538589478, 0.08165070414543152, 0.035152584314346313, -0.9921655058860779, -0.12242564558982849, -0.02490011602640152, -0.0021279454231262207, 0.020786836743354797, 0.013700362294912338, 0.0855099271268362, -0.6929920592220797, 0.7158563253825787,5.551115123125783e-17,-0.994293212890625,-0.1016387939453125,-0.011199951171875
20220122-1409,2022-01-22 14:09:32Z,u01, 2,40,movements,el-ex, rt, d,294633.476421875, -1.5447628007658663, 0.12148531481071484, 0.12395610814294392, 0.17042112350463867, 0.0906083732843399, 0.02866019681096077, -0.9922935366630554, -0.12118671089410782, -0.025838736444711685, -0.003220498561859131, 0.011476017534732819, 0.011266829445958138, 0.08654028665002295, -0.6925253861615739, 0.7161811980774679,0.0020001752568910014,-0.993133544921875,-0.1102142333984375,-0.015960693359375
20220122-1409,2022-01-22 14:09:32Z,u01, 3,40,movements,el-ex, rt, d,294633.501366875, -1.5433573498798165, 0.12077550409466126, 0.12805761112143096, 0.15965741872787476, 0.47126704454421997, -0.26234927773475647, -0.9923420548439026, -0.12048210203647614, -0.027235686779022217, 0.335435688495636, -0.027406111359596252, -0.061982277780771255, 0.08770540725700848, -0.6918742071402482, 0.7166615673173226,0.0037782091194157874,-0.6569061279296875,-0.14788818359375,-0.0892181396484375
20220122-1409,2022-01-22 14:09:32Z,u01, 4,40,movements,el-ex, rt, d,294633.52631187503, -1.5429264016762927, 0.12019103673919507, 0.1339765407983993, 0.2700861692428589, 0.10394888371229172, -0.019119109958410263, -0.9924002885818481, -0.1199018657207489, -0.027665285393595695, 0.03459078073501587, 0.021620012819767, 0.003068329766392708, 0.08954350042546988, -0.6914834189924594, 0.7167951353937904,0.006122216933849733,-0.994903564453125,-0.0985870361328125,-0.025848388671875
20220122-1409,2022-01-22 14:09:32Z,u01, 5,40,movements,el-ex, rt, d,294633.55125687504, -1.5409023005791078, 0.12049336707428945, 0.14112127067760108, 0.26085081696510315, 0.11317454278469086, 0.015905652195215225, -0.9923058748245239, -0.12020201236009598, -0.029672857373952866, 0.007778346538543701, -0.02065185457468033, -0.002767140045762062, 0.09211189110522777, -0.6904194167907348, 0.717468608167202,0.00867064897890285,-0.984527587890625,-0.1408538818359375,-0.032440185546875
20220122-1409,2022-01-22 14:09:32Z,u01, 6,40,movements,el-ex, rt, d,294633.57620087505, -1.5387094866306565, 0.12028865696001706, 0.14557160333667213, 0.1062835082411766, 0.10522666573524475, 0.016626104712486267, -0.99226313829422, -0.11999878287315369, -0.03184952214360237, 0.00598067045211792, -0.021602779626846313, 0.001210033893585205, 0.09356374856547972, -0.6894353231418725, 0.7182032317074967,0.010441000973752335,-0.9888916015625,-0.138763427734375,-0.032073974609375
20220122-1409,2022-01-22 14:09:32Z,u01, 7,40,movements,el-ex, rt, d,294633.601145875, -1.5360805964807092, 0.11980267889591921, 0.14753745922195505, 0.041196223348379135, 0.11607818305492401, 0.03502049297094345, -0.9922341108322144, -0.11951630562543869, -0.034459978342056274, -0.00265425443649292, -0.006567053496837616, 0.0029965676367282867, 0.09405339630498294, -0.6884213608154433, 0.719096123045775,0.011439623548473832,-0.9948883056640625,-0.1260833740234375,-0.031463623046875
20220122-1409,2022-01-22 14:09:32Z,u01, 8,40,movements,el-ex, rt, d,294633.626090875, -1.5332776024906813, 0.11901714893275307, 0.14727259237293366, -0.0593363456428051, 0.09895306080579758, 0.03338457643985748, -0.9922271370887756, -0.11873636394739151, -0.03724457323551178, 0.000710904598236084, -0.005287081003189087, -0.0008717179298400879, 0.09366581245340855, -0.6874623105823282, 0.7200585798982543,0.011748554759910046,-0.9915771484375,-0.125579833984375,-0.0413970947265625
20220122-1409,2022-01-22 14:09:32Z,u01, 9,40,movements,el-ex, rt, d,294633.651035875, -1.530703356947608, 0.11829611548914858, 0.1454531888365014, -0.08106577396392822, 0.09406796097755432, 0.02628372795879841, -0.9922133088111877, -0.11802040040493011, -0.03980210795998573, 0.0012617111206054688, -0.001227051019668579, -0.011375665664672852, 0.09276826631386803, -0.6866534751175525, 0.7209506297883839,0.011463043254085425,-0.9909515380859375,-0.1192474365234375,-0.051177978515625
20220122-1409,2022-01-22 14:09:32Z,u01, 10,40,movements,el-ex, rt, d,294633.67598087504, -1.5285625968563816, 0.11789416991436864, 0.1432815819008718, -0.09528093039989471, 0.07603036612272263, 0.034369878470897675, -0.9921731352806091, -0.11762125790119171, -0.04192810505628586, 0.00526505708694458, 0.004965603351593018, -0.02215862274169922, 0.09186729253390752, -0.6860002543476774, 0.721695894903172,0.010917808407355012,-0.986328125,-0.112548828125,-0.0630645751953125
