SessionID,LoggingTime,UID,RecNo,Hertz,Activity,MoveType,Wrist,Side,TimeStamp,DMRoll,DMPitch,DMYaw,DMRotX,DMRotY,DMRotZ,DMGrvX,DMGrvY,DMGrvZ,DMUAccelX,DMUAccelY,DMUAccelZ,DMQuatX,DMQuatY,DMQuatW,DMQuatZ,AccelroX,AceelroY,AceelroZ
20220224-0919,2022-02-24 09:19:17Z,u01, 1,40,movements,el-ex, rt, d,218388.40091312502, -1.5094199850500754, -0.4584637105055022, -0.4320212457749688, 0.14600156247615814, 0.0051257070153951645, -0.13894625008106232, -0.8950450420379639, 0.4425709843635559, -0.05500367656350136, -0.013493776321411133, 0.027262389659881592, 0.011012613773345947, -0.3046778833997183, -0.6161733113789613, 0.7262932619695789,-1.734723475976807e-18,-0.904296875,0.462249755859375,-0.04461669921875
20220224-0919,2022-02-24 09:19:17Z,u01, 2,40,movements,el-ex, rt, d,218388.425859125, -1.5093458741762977, -0.45488123940882647, -0.4306878018268833, -0.024694271385669708, -0.05970894917845726, -0.15246500074863434, -0.896617591381073, 0.43935564160346985, -0.05516701564192772, -0.021915674209594727, 0.011434763669967651, 0.01839328184723854, -0.3030847079229282, -0.6168923345364065, 0.7263490065142919,-0.0007577661695416255,-0.9185333251953125,0.4507904052734375,-0.036773681640625
20220224-0919,2022-02-24 09:19:17Z,u01, 3,40,movements,el-ex, rt, d,218388.450806125, -1.5113920748914802, -0.4509390363397048, -0.4309205065083056, 0.05993828922510147, -0.14106485247612, -0.14254584908485413, -0.8984507322311401, 0.4358108937740326, -0.05343466252088547, -0.03219807147979736, 0.027857929468154907, 0.0077040791511535645, -0.3018564538810754, -0.6181952366635035, 0.7257505086611644,-0.001887797730524013,-0.927459716796875,0.462554931640625,-0.0514984130859375
20220224-0919,2022-02-24 09:19:17Z,u01, 4,40,movements,el-ex, rt, d,218388.475753125, -1.5124632903802218, -0.4447234812656122, -0.42981029184343383, 0.02890653908252716, 0.12576857209205627, -0.2515994906425476, -0.9011942744255066, 0.4302082657814026, -0.05262910574674606, 0.2962290644645691, -0.005495131015777588, -0.08831632137298584, -0.2994614360754498, -0.6196840287472163, 0.7254671664137436,-0.003461928718806363,-0.6049652099609375,0.424713134765625,-0.1409454345703125
20220224-0919,2022-02-24 09:19:17Z,u01, 5,40,movements,el-ex, rt, d,218388.50069912503, -1.5130440723108483, -0.4376230319770486, -0.428136463537154, 0.10863685607910156, -0.08477548509836197, -0.29420754313468933, -0.9042514562606812, 0.4237876832485199, -0.052280694246292114, -0.005172371864318848, 0.032373785972595215, -0.0081135593354702, -0.2965950486893371, -0.6212012791297981, 0.7253365770794562,-0.005211496629358374,-0.9036865234375,0.4472808837890625,-0.0584869384765625
20220224-0919,2022-02-24 09:19:17Z,u01, 6,40,movements,el-ex, rt, d,218388.52564612502, -1.513140208758694, -0.4302929332633546, -0.42343741640904037, 0.2654222548007965, -0.0811050534248352, -0.28021684288978577, -0.907333493232727, 0.4171370565891266, -0.052371371537446976, -0.01356494426727295, 0.019233793020248413, 0.02814042568206787, -0.29270407476375804, -0.6230077360959274, 0.7253616795982603,-0.006015645805497689,-0.9208984375,0.436370849609375,-0.02423095703125
20220224-0919,2022-02-24 09:19:17Z,u01, 7,40,movements,el-ex, rt, d,218388.55059312502, -1.5112719327359958, -0.423388469471278, -0.41505925754807255, 0.35069799423217773, -0.045409902930259705, -0.2477363795042038, -0.9100872874259949, 0.4108520746231079, -0.05423646420240402, -0.02326226234436035, 0.009542763233184814, 0.026373930275440216, -0.2877891527123001, -0.6245471727583086, 0.7260072793413893,-0.005621640471980478,-0.9338836669921875,0.4151763916015625,-0.0296783447265625
20220224-0919,2022-02-24 09:19:17Z,u01, 8,40,movements,el-ex, rt, d,218388.575539125, -1.5089789191349798, -0.41689600658048154, -0.4065611302049147, 0.28568145632743835, -0.037659309804439545, -0.23067563772201538, -0.9126038551330566, 0.40492427349090576, -0.05648677796125412, -0.023248255252838135, -0.025651752948760986, 0.03141658753156662, -0.2829576560502505, -0.6258526794047728, 0.7267857933797861,-0.005093001987921465,-0.93585205078125,0.3792724609375,-0.0250701904296875
20220224-0919,2022-02-24 09:19:17Z,u01, 9,40,movements,el-ex, rt, d,218388.600486125, -1.5072088944048698, -0.41061752208472296, -0.4008592315153009, 0.16471870243549347, 0.0075234174728393555, -0.2329118251800537, -0.9150214791297913, 0.39917558431625366, -0.0582624115049839, -0.037905097007751465, -0.02196308970451355, 0.029118124395608902, -0.27906176207169475, -0.6268917981300218, 0.7273938225173933,-0.005423590940648143,-0.9506683349609375,0.38201904296875,-0.02685546875
20220224-0919,2022-02-24 09:19:17Z,u01, 10,40,movements,el-ex, rt, d,218388.625433125, -1.505176597533647, -0.4044573030363655, -0.3976946954235193, 0.09990724176168442, 0.04584610462188721, -0.23449181020259857, -0.9173374772071838, 0.39351990818977356, -0.060281988233327866, -0.004186511039733887, -0.014674723148345947, 0.016474012285470963, -0.27599083927666684, -0.6274456653381996, 0.7280772769160931,-0.006666241874762984,-0.9215240478515625,0.37884521484375,-0.0438079833984375
