SessionID,LoggingTime,UID,RecNo,Hertz,Activity,MoveType,Wrist,Side,TimeStamp,DMRoll,DMPitch,DMYaw,DMRotX,DMRotY,DMRotZ,DMGrvX,DMGrvY,DMGrvZ,DMUAccelX,DMUAccelY,DMUAccelZ,DMQuatX,DMQuatY,DMQuatW,DMQuatZ,AccelroX,AceelroY,AceelroZ
20220224-1005,2022-02-24 10:06:00Z,u01, 1,40,movements,el-ex, rt, d,219855.3795350417, -1.4958072283896122, 0.49802863699441235, 0.46333684061515396, -0.028015799820423126, -0.10975679755210876, 0.08961090445518494, -0.876056969165802, -0.477694571018219, -0.06581814587116241, 0.019581198692321777, -0.05068674683570862, 0.05554884672164917, 0.3271852853359102, -0.6000339305414709, 0.730006200995146,-5.551115123125783e-17,-0.8540802001953125,-0.5249786376953125,-0.0106964111328125
20220224-1005,2022-02-24 10:06:00Z,u01, 2,40,movements,el-ex, rt, d,219855.4044820417, -1.4956910848997296, 0.4953905855162149, 0.4575885677934441, -0.3422548472881317, -0.06013225018978119, 0.12607091665267944, -0.8773028254508972, -0.47537532448768616, -0.06601421535015106, -0.009614169597625732, 0.009265124797821045, 0.0368393138051033, 0.32459654644424035, -0.6013567790727506, 0.730072344549388,-0.0011784972908326918,-0.8869171142578125,-0.4661102294921875,-0.0291748046875
20220224-1005,2022-02-24 10:06:00Z,u01, 3,40,movements,el-ex, rt, d,219855.42942804168, -1.491602885504093, 0.49106226426225175, 0.4489050217075945, -0.2822172939777374, 0.7687801122665405, -0.31878167390823364, -0.8790686726570129, -0.4715628921985626, -0.06976237148046494, -0.19186943769454956, 0.04836040735244751, 0.04528719186782837, 0.32056761879091844, -0.6019594790357714, 0.7313523924193744,-0.0022153511595734976,-0.59405517578125,-0.4849700927734375,-0.1407012939453125
20220224-1005,2022-02-24 10:06:00Z,u01, 4,40,movements,el-ex, rt, d,219855.45437504168, -1.4858323167447205, 0.4875867836278893, 0.44097854655824437, -0.2633475363254547, 0.08820788562297821, 0.120522141456604, -0.8802791237831116, -0.46849524974823, -0.07497254014015198, 0.021453499794006348, 0.04028785228729248, 0.013555824756622314, 0.31704343644367766, -0.6016620229729616, 0.733128374214226,-0.003015132580946045,-0.85882568359375,-0.4282073974609375,-0.0614166259765625
20220224-1005,2022-02-24 10:06:00Z,u01, 5,40,movements,el-ex, rt, d,219855.47932104167, -1.480616647916556, 0.4846656731104645, 0.43448385727957944, -0.24138589203357697, 0.0794394239783287, 0.07370324432849884, -0.8812351226806641, -0.4659125506877899, -0.07968562841415405, 0.012933909893035889, 0.03814774751663208, 0.024006202816963196, 0.3141301278541915, -0.6012316093490518, 0.7347310984752848,-0.00358448799355765,-0.86749267578125,-0.432647705078125,-0.0542144775390625
20220224-1005,2022-02-24 10:06:00Z,u01, 6,40,movements,el-ex, rt, d,219855.50426804167, -1.476062202260756, 0.48278985470400165, 0.4290223512295756, -0.11667099595069885, 0.07345370948314667, 0.04902639240026474, -0.8817316889762878, -0.46425196528434753, -0.08378086239099503, 0.004793882369995117, 0.05260038375854492, 0.010141856968402863, 0.3118729983712693, -0.6007035897471246, 0.7361197821702974,-0.004245184351489906,-0.8769378662109375,-0.411651611328125,-0.073638916015625
20220224-1005,2022-02-24 10:06:00Z,u01, 7,40,movements,el-ex, rt, d,219855.5292140417, -1.474962950038847, 0.4820285015718694, 0.4294531991486733, 0.13032391667366028, 0.054340533912181854, 0.027214370667934418, -0.8819907307624817, -0.4635775089263916, -0.08478385955095291, -0.00858849287033081, 0.0722811222076416, -0.004831075668334961, 0.3117502903213254, -0.6003497538082273, 0.7364635419110239,-0.0036579084131025397,-0.8984527587890625,-0.3886566162109375,-0.0937347412109375
20220224-1005,2022-02-24 10:06:00Z,u01, 8,40,movements,el-ex, rt, d,219855.55416104168, -1.4764525267575503, 0.48110207373406566, 0.436947013964343, 0.37435880303382874, 0.11065547168254852, 0.0839836448431015, -0.88254314661026, -0.4627564251422882, -0.0835103914141655, -0.013254523277282715, 0.046145737171173096, -0.04057419300079346, 0.313688089697555, -0.5998704764295045, 0.7360397069051812,-0.0008190514093088797,-0.8957977294921875,-0.4166107177734375,-0.12408447265625
20220224-1005,2022-02-24 10:06:00Z,u01, 9,40,movements,el-ex, rt, d,219855.57910704167, -1.479092973181473, 0.4797890930135471, 0.44795659170674706, 0.3179919421672821, 0.07424100488424301, 0.09084421396255493, -0.8833646774291992, -0.46159207820892334, -0.08123534917831421, 0.006045520305633545, -0.008470088243484497, -0.025759391486644745, 0.31655356853870226, -0.5993130762886976, 0.7352597208088698,0.0032588017497392485,-0.8768310546875,-0.47650146484375,-0.0968780517578125
20220224-1005,2022-02-24 10:06:00Z,u01, 10,40,movements,el-ex, rt, d,219855.60405404167, -1.4805095990855077, 0.47728274899212114, 0.4534678021492024, 0.04348118603229523, -0.0042683836072683334, 0.08742690831422806, -0.8846284747123718, -0.4593672752380371, -0.08008794486522675, -0.0225522518157959, -0.032545506954193115, 0.016412921249866486, 0.317376649923398, -0.5993563948698911, 0.7348530714754766,0.00590894348014348,-0.9071807861328125,-0.491912841796875,-0.0636749267578125
